Timestamp,Enter your Prolific ID.,Select your birth month.,filler_good_cold,auditory_good_humid,filler_good_clean,visual_bad_hot,filler_bad_dark,haptic_good_noisy,filler_bad_quiet,visual_good_crowded,auditory_bad_bright,filler_bad_dry,haptic_bad_wet,filler_good_dirty,filler_good_cold,haptic_bad_noisy,auditory_good_bright,smell_good_clean,sign_bad_dark,mix_bad_quiet,visual_good_wet,smell_bad_dry,auditory_bad_hot,haptic_good_humid,sign_good_dirty,visual_bad_crowded,mix_good_cold,sign_bad_dark,visual_bad_wet,smell_good_clean,mix_bad_quiet,auditory_good_hot,haptic_bad_humid,smell_bad_dry,visual_good_noisy,sign_good_dirty,auditory_bad_crowded,haptic_good_bright,mix_bad_quiet,auditory_bad_wet,visual_bad_noisy,haptic_good_hot,smell_good_clean,sign_good_dirty,mix_good_cold,auditory_good_crowded,smell_bad_dry,visual_good_humid,haptic_bad_bright,sign_bad_dark,mix_bad_quiet,auditory_bad_noisy,smell_good_clean,sign_bad_dark,visual_good_bright,mix_good_cold,haptic_bad_hot,smell_bad_dry,auditory_good_wet,sign_good_dirty,visual_bad_humid,haptic_good_crowded,mix_bad_quiet,visual_good_hot,haptic_good_wet,auditory_bad_humid,smell_bad_dry,sign_bad_dark,mix_good_cold,smell_good_clean,auditory_good_noisy,haptic_bad_crowded,sign_good_dirty,visual_bad_bright
2022/07/14 2:39:37 PM AST,5ba4c959ef37260001b01cde,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""It sounds quiet in there.""","""It sounds wet in there.""","""It looks noisy in there.""","""It feels hot in there.""","""It looks clean in there.""","""It feels dirty in there.""","""It looks cold in there.""","""It sounds crowded in there.""","""It feels dry in there.""","""It looks humid in there.""","""It feels bright in there.""","""It feels dark in there.""",,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:39:47 PM AST,61098ada0322d9a2497a82c3,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""It sounds quiet in there.""","""It sounds wet in there.""","""It looks noisy in there.""","""It feels hot in there.""","""It feels clean in there.""","""It sounds dirty in there.""","""It looks cold in there.""","""It sounds crowded in there.""","""It feels dry in there.""","""It looks humid in there.""","""It's bright in there.""","""It sounds dark in there.""",,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:41:43 PM AST,5f68293531178c45eb421365,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""It sounds quiet in there.""","""It sounds noisy in there.""","""It feels clean in there.""","""It feels dark in there.""","""It looks bright in there.""","""It sounds cold in there.""","""It feels hot in there.""","""It feels dry in there.""","""It sounds wet in there.""","""It feels dirty in there.""","""It's humid in there.""","""It feels crowded in there.""",,,,,,,,,,,,
2022/07/14 2:42:17 PM AST,5e4af8bf80f66e012156bf44,August,,,,,,,,,,,,,"""It looks cold in there.""","""It's noisy in there.""","""It's bright in there.""","""It feels clean in there.""","""It feels dark in there.""","""It sounds quiet in there.""","""It's wet in there.""","""It feels dry in there.""","""It's hot in there.""","""It feels humid in there.""","""It feels dirty in there.""","""It looks crowded in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:43:34 PM AST,6078649b9de64f21e3fee45d,March,,,,,,,,,,,,,,,,,,,,,,,,,"""It looks cold in there.""","""It feels dark in there.""","""It looks wet in there.""","""It looks clean in there.""","""It looks quiet in there.""","""It sounds hot in there.""","""It feels humid in there.""","""It feels dry in there.""","""It looks noisy in there.""","""It feels dirty in there.""","""It sounds crowded in there.""","""It feels bright in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:43:43 PM AST,5e4be1707b764a02a384f7b8,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""It sounds quiet in there.""","""It sounds noisy in there.""","""It feels clean in there.""","""It feels dark in there.""","""It looks bright in there.""","""It sounds cold in there.""","""It feels hot in there.""","""It feels dry in there.""","""It sounds wet in there.""","""It feels dirty in there.""","""It's humid in there.""","""It's crowded in there.""",,,,,,,,,,,,
2022/07/14 2:43:44 PM AST,57c9cf1ee3221e00010e5ce5,March,,,,,,,,,,,,,,,,,,,,,,,,,"""It looks cold in there.""","""It feels dark in there.""","""It looks wet in there.""","""It looks clean in there.""","""It sounds quiet in there.""","""It sounds hot in there.""","""It feels humid in there.""","""It feels dry in there.""","""It looks noisy in there.""","""It sounds dirty in there.""","""It sounds crowded in there.""","""It's bright in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:44:30 PM AST,611c081bd9c25e13b77bde7f,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""It sounds quiet in there.""","""It sounds noisy in there.""","""It feels clean in there.""","""It feels dark in there.""","""It's bright in there.""","""It looks cold in there.""","""It's hot in there.""","""It feels dry in there.""","""It sounds wet in there.""","""It sounds dirty in there.""","""It looks humid in there.""","""It feels crowded in there.""",,,,,,,,,,,,
2022/07/14 2:44:41 PM AST,5fb532faad65b8058cc42652,March,,,,,,,,,,,,,,,,,,,,,,,,,"""It looks cold in there.""","""It feels dark in there.""","""It looks wet in there.""","""It feels clean in there.""","""It sounds quiet in there.""","""It's hot in there.""","""It feels humid in there.""","""It feels dry in there.""","""It looks noisy in there.""","""It sounds dirty in there.""","""It's crowded in there.""","""It feels bright in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:46:11 PM AST,5aeb2689b33c3d000144ea6b,August,,,,,,,,,,,,,"""It looks cold in there.""","""It's noisy in there.""","""It's bright in there.""","""It looks clean in there.""","""It feels dark in there.""","""It sounds quiet in there.""","""It looks wet in there.""","""It looks dry in there.""","""It's hot in there.""","""It feels humid in there.""","""It feels dirty in there.""","""It looks crowded in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:46:12 PM AST,61096ec7e47204510ccb187b,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""It sounds quiet in there.""","""It's hot in there.""","""It's wet in there.""","""It sounds humid in there.""","""It feels dry in there.""","""It feels dark in there.""","""It looks cold in there.""","""It feels clean in there.""","""It sounds noisy in there.""","""It feels crowded in there.""","""It sounds dirty in there.""","""It looks bright in there."""
2022/07/14 2:46:22 PM AST,5ac25382f69e940001d95ff9,January,"""It looks cold in there.""","""It's humid in there.""","""It looks clean in there.""","""It's hot in there.""","""It feels dark in there.""","""It's noisy in there.""","""It sounds quiet in there.""","""It looks crowded in there.""","""It's bright in there.""","""It feels dry in there.""","""It's wet in there.""","""It feels dirty in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:47:37 PM AST,62b437e16f195fe61a270637,February,,,,,,,,,,,,,"""It looks cold in there.""","""It feels noisy in there.""","""It sounds bright in there.""","""It feels clean in there.""","""It feels dark in there.""","""It sounds quiet in there.""","""It's wet in there.""","""It feels dry in there.""","""It's hot in there.""","""It's humid in there.""","""It feels dirty in there.""","""It's crowded in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:47:39 PM AST,59dceff62f63d30001c8f322,January,"""It looks cold in there.""","""It sounds humid in there.""","""It looks clean in there.""","""It looks hot in there.""","""It feels dark in there.""","""It's noisy in there.""","""It sounds quiet in there.""","""It looks crowded in there.""","""It's bright in there.""","""It looks dry in there.""","""It feels wet in there.""","""It feels dirty in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:48:26 PM AST,613a62de5484d0b75dd3833f,March,,,,,,,,,,,,,,,,,,,,,,,,,"""It looks cold in there.""","""It feels dark in there.""","""It looks wet in there.""","""It feels clean in there.""","""It sounds quiet in there.""","""It sounds hot in there.""","""It feels humid in there.""","""It feels dry in there.""","""It looks noisy in there.""","""It sounds dirty in there.""","""It sounds crowded in there.""","""It feels bright in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:48:29 PM AST,604f8b06769dacf509ff4c5a,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""It sounds quiet in there.""","""It sounds noisy in there.""","""It feels clean in there.""","""It feels dark in there.""","""It looks bright in there.""","""It looks cold in there.""","""It feels hot in there.""","""It looks dry in there.""","""It sounds wet in there.""","""It feels dirty in there.""","""It looks humid in there.""","""It's crowded in there.""",,,,,,,,,,,,
2022/07/14 2:48:30 PM AST,571aae5c644c160009a05198,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""It sounds quiet in there.""","""It sounds noisy in there.""","""It looks clean in there.""","""It feels dark in there.""","""It's bright in there.""","""It looks cold in there.""","""It feels hot in there.""","""It feels dry in there.""","""It sounds wet in there.""","""It feels dirty in there.""","""It looks humid in there.""","""It's crowded in there.""",,,,,,,,,,,,
2022/07/14 2:48:37 PM AST,5996f68a9039240001432124,July,"""It looks cold in there.""","""It's humid in there.""","""It feels clean in there.""","""It looks hot in there.""","""It feels dark in there.""","""It's noisy in there.""","""It sounds quiet in there.""","""It looks crowded in there.""","""It sounds bright in there.""","""It feels dry in there.""","""It feels wet in there.""","""It feels dirty in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:48:43 PM AST,5f84de85a535f41b305f9eb8,July,"""It looks cold in there.""","""It sounds humid in there.""","""It looks clean in there.""","""It's hot in there.""","""It feels dark in there.""","""It's noisy in there.""","""It sounds quiet in there.""","""It looks crowded in there.""","""It's bright in there.""","""It feels dry in there.""","""It feels wet in there.""","""It feels dirty in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:49:03 PM AST,5982f10ef379630001ecd9f1,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""It sounds quiet in there.""","""It's wet in there.""","""It looks noisy in there.""","""It feels hot in there.""","""It feels clean in there.""","""It feels dirty in there.""","""It looks cold in there.""","""It sounds crowded in there.""","""It looks dry in there.""","""It looks humid in there.""","""It's bright in there.""","""It feels dark in there.""",,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:49:16 PM AST,5ff8d42a3711c017e48faef5,January,"""It looks cold in there.""","""It's humid in there.""","""It looks clean in there.""","""It looks hot in there.""","""It feels dark in there.""","""It's noisy in there.""","""It sounds quiet in there.""","""It looks crowded in there.""","""It's bright in there.""","""It looks dry in there.""","""It feels wet in there.""","""It feels dirty in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:50:33 PM AST,613eefd901a93887944f4a5d,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""It sounds quiet in there.""","""It sounds wet in there.""","""It looks noisy in there.""","""It feels hot in there.""","""It feels clean in there.""","""It feels dirty in there.""","""It looks cold in there.""","""It sounds crowded in there.""","""It feels dry in there.""","""It looks humid in there.""","""It feels bright in there.""","""It feels dark in there.""",,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:50:57 PM AST,5ed519d5f242dd06a51883e7,February,,,,,,,,,,,,,"""It looks cold in there.""","""It feels noisy in there.""","""It's bright in there.""","""It feels clean in there.""","""It feels dark in there.""","""It sounds quiet in there.""","""It looks wet in there.""","""It feels dry in there.""","""It's hot in there.""","""It feels humid in there.""","""It feels dirty in there.""","""It looks crowded in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:51:33 PM AST,5b8bbd437073290001839123,August,,,,,,,,,,,,,"""It looks cold in there.""","""It's noisy in there.""","""It's bright in there.""","""It feels clean in there.""","""It feels dark in there.""","""It looks quiet in there.""","""It's wet in there.""","""It feels dry in there.""","""It's hot in there.""","""It feels humid in there.""","""It sounds dirty in there.""","""It looks crowded in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:51:36 PM AST,5f01c6bf8b6d1e3258ae7048,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""It sounds quiet in there.""","""It looks hot in there.""","""It feels wet in there.""","""It sounds humid in there.""","""It feels dry in there.""","""It feels dark in there.""","""It looks cold in there.""","""It looks clean in there.""","""It's noisy in there.""","""It's crowded in there.""","""It feels dirty in there.""","""It looks bright in there."""
2022/07/14 2:51:37 PM AST,5ec107c5a81ee01731ccaebf,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""It sounds quiet in there.""","""It sounds noisy in there.""","""It looks clean in there.""","""It sounds dark in there.""","""It's bright in there.""","""It looks cold in there.""","""It feels hot in there.""","""It feels dry in there.""","""It's wet in there.""","""It sounds dirty in there.""","""It looks humid in there.""","""It feels crowded in there.""",,,,,,,,,,,,
2022/07/14 2:53:18 PM AST,5cb5b4444c39f300013efd8e,February,,,,,,,,,,,,,"""It looks cold in there.""","""It's noisy in there.""","""It's bright in there.""","""It looks clean in there.""","""It feels dark in there.""","""It sounds quiet in there.""","""It looks wet in there.""","""It feels dry in there.""","""It sounds hot in there.""","""It feels humid in there.""","""It sounds dirty in there.""","""It looks crowded in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:53:33 PM AST,5caa0d17f1622b001256f767,March,,,,,,,,,,,,,,,,,,,,,,,,,"""It looks cold in there.""","""It feels dark in there.""","""It looks wet in there.""","""It looks clean in there.""","""It sounds quiet in there.""","""It's hot in there.""","""It feels humid in there.""","""It looks dry in there.""","""It looks noisy in there.""","""It feels dirty in there.""","""It sounds crowded in there.""","""It's bright in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 2:55:40 PM AST,608d4df475808bb5ee13de25,July,"""It looks cold in there.""","""It sounds humid in there.""","""It feels clean in there.""","""It's hot in there.""","""It feels dark in there.""","""It feels noisy in there.""","""It sounds quiet in there.""","""It's crowded in there.""","""It's bright in there.""","""It looks dry in there.""","""It feels wet in there.""","""It feels dirty in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 3:16:42 PM AST,5ff85cb8d2ca6f03514e637a,August,,,,,,,,,,,,,"""It looks cold in there.""","""It's noisy in there.""","""It sounds bright in there.""","""It looks clean in there.""","""It feels dark in there.""","""It sounds quiet in there.""","""It's wet in there.""","""It feels dry in there.""","""It sounds hot in there.""","""It feels humid in there.""","""It feels dirty in there.""","""It looks crowded in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 3:19:16 PM AST,6120cea050e9bce18a162223,March,,,,,,,,,,,,,,,,,,,,,,,,,"""It looks cold in there.""","""It feels dark in there.""","""It looks wet in there.""","""It looks clean in there.""","""It sounds quiet in there.""","""It sounds hot in there.""","""It feels humid in there.""","""It looks dry in there.""","""It looks noisy in there.""","""It feels dirty in there.""","""It sounds crowded in there.""","""It's bright in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/14 3:20:36 PM AST,608b0f7f4699c09aa348c57f,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""It sounds quiet in there.""","""It looks hot in there.""","""It's wet in there.""","""It sounds humid in there.""","""It feels dry in there.""","""It feels dark in there.""","""It looks cold in there.""","""It feels clean in there.""","""It's noisy in there.""","""It feels crowded in there.""","""It sounds dirty in there.""","""It looks bright in there."""
2022/07/14 3:29:55 PM AST,5b5e0e86902ad10001cfcc59,September,,,,,,,,,,,,,,,,,,,,,,,,,"""It looks cold in there.""","""It feels dark in there.""","""It looks wet in there.""","""It looks clean in there.""","""It sounds quiet in there.""","""It's hot in there.""","""It feels humid in there.""","""It looks dry in there.""","""It looks noisy in there.""","""It sounds dirty in there.""","""It sounds crowded in there.""","""It's bright in there.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
