Participant,ProlificID,PropertyNum,Property,Object,Stimulus,Type,RandomNum,List,Response
1,6171fb48ed4824ddf0dafbc7,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,30
1,6171fb48ed4824ddf0dafbc7,15,long,gown,I think Jenny's gown is long,filler,2,1,71
1,6171fb48ed4824ddf0dafbc7,20,damp,top,Samantha's top might be damp,filler,3,1,61
1,6171fb48ed4824ddf0dafbc7,10,oily,purse,Natalie's purse is oily,bare,4,1,93
1,6171fb48ed4824ddf0dafbc7,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,77
1,6171fb48ed4824ddf0dafbc7,16,tight,belt,Raplh's belt might be tight,filler,6,1,66
1,6171fb48ed4824ddf0dafbc7,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,71
1,6171fb48ed4824ddf0dafbc7,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,60
1,6171fb48ed4824ddf0dafbc7,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,100
1,6171fb48ed4824ddf0dafbc7,9,clean,shoes,Michael's shoes look clean,looks,10,1,81
1,6171fb48ed4824ddf0dafbc7,1,beige,suit,Elliot's suit is beige,bare,11,1,100
1,6171fb48ed4824ddf0dafbc7,6,loose,pants,Steve's pants look loose,looks,12,1,71
1,6171fb48ed4824ddf0dafbc7,5,short,skirt,Zoe's skirt is short,bare,13,1,100
1,6171fb48ed4824ddf0dafbc7,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,72
1,6171fb48ed4824ddf0dafbc7,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,72
1,6171fb48ed4824ddf0dafbc7,4,shiny,dress,Kate's dress is shiny,bare,16,1,100
1,6171fb48ed4824ddf0dafbc7,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,61
1,6171fb48ed4824ddf0dafbc7,18,silky,tie,David's tie might be silky,filler,18,1,51
1,6171fb48ed4824ddf0dafbc7,12,green,vest,I think Tom's vest is green,filler,19,1,77
1,6171fb48ed4824ddf0dafbc7,2,purple,coat,Holly's coat looks purple,looks,20,1,60
2,611c566a4412b71fd8fb5e20,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,54
2,611c566a4412b71fd8fb5e20,15,long,gown,I think Jenny's gown is long,filler,2,1,71
2,611c566a4412b71fd8fb5e20,20,damp,top,Samantha's top might be damp,filler,3,1,61
2,611c566a4412b71fd8fb5e20,10,oily,purse,Natalie's purse is oily,bare,4,1,100
2,611c566a4412b71fd8fb5e20,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,88
2,611c566a4412b71fd8fb5e20,16,tight,belt,Raplh's belt might be tight,filler,6,1,59
2,611c566a4412b71fd8fb5e20,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,85
2,611c566a4412b71fd8fb5e20,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,55
2,611c566a4412b71fd8fb5e20,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,100
2,611c566a4412b71fd8fb5e20,9,clean,shoes,Michael's shoes look clean,looks,10,1,95
2,611c566a4412b71fd8fb5e20,1,beige,suit,Elliot's suit is beige,bare,11,1,100
2,611c566a4412b71fd8fb5e20,6,loose,pants,Steve's pants look loose,looks,12,1,92
2,611c566a4412b71fd8fb5e20,5,short,skirt,Zoe's skirt is short,bare,13,1,100
2,611c566a4412b71fd8fb5e20,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,83
2,611c566a4412b71fd8fb5e20,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,87
2,611c566a4412b71fd8fb5e20,4,shiny,dress,Kate's dress is shiny,bare,16,1,100
2,611c566a4412b71fd8fb5e20,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,71
2,611c566a4412b71fd8fb5e20,18,silky,tie,David's tie might be silky,filler,18,1,59
2,611c566a4412b71fd8fb5e20,12,green,vest,I think Tom's vest is green,filler,19,1,69
2,611c566a4412b71fd8fb5e20,2,purple,coat,Holly's coat looks purple,looks,20,1,96
3,5edf222d1b8bce1bdd61cd2d,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,11
3,5edf222d1b8bce1bdd61cd2d,15,long,gown,I think Jenny's gown is long,filler,2,1,9
3,5edf222d1b8bce1bdd61cd2d,20,damp,top,Samantha's top might be damp,filler,3,1,20
3,5edf222d1b8bce1bdd61cd2d,10,oily,purse,Natalie's purse is oily,bare,4,1,80
3,5edf222d1b8bce1bdd61cd2d,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,73
3,5edf222d1b8bce1bdd61cd2d,16,tight,belt,Raplh's belt might be tight,filler,6,1,34
3,5edf222d1b8bce1bdd61cd2d,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,27
3,5edf222d1b8bce1bdd61cd2d,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,30
3,5edf222d1b8bce1bdd61cd2d,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,87
3,5edf222d1b8bce1bdd61cd2d,9,clean,shoes,Michael's shoes look clean,looks,10,1,63
3,5edf222d1b8bce1bdd61cd2d,1,beige,suit,Elliot's suit is beige,bare,11,1,95
3,5edf222d1b8bce1bdd61cd2d,6,loose,pants,Steve's pants look loose,looks,12,1,74
3,5edf222d1b8bce1bdd61cd2d,5,short,skirt,Zoe's skirt is short,bare,13,1,97
3,5edf222d1b8bce1bdd61cd2d,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,35
3,5edf222d1b8bce1bdd61cd2d,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,75
3,5edf222d1b8bce1bdd61cd2d,4,shiny,dress,Kate's dress is shiny,bare,16,1,81
3,5edf222d1b8bce1bdd61cd2d,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,62
3,5edf222d1b8bce1bdd61cd2d,18,silky,tie,David's tie might be silky,filler,18,1,36
3,5edf222d1b8bce1bdd61cd2d,12,green,vest,I think Tom's vest is green,filler,19,1,64
3,5edf222d1b8bce1bdd61cd2d,2,purple,coat,Holly's coat looks purple,looks,20,1,84
4,5bd0d9bf25db7b0001786a5b,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,73
4,5bd0d9bf25db7b0001786a5b,15,long,gown,I think Jenny's gown is long,filler,2,1,92
4,5bd0d9bf25db7b0001786a5b,20,damp,top,Samantha's top might be damp,filler,3,1,51
4,5bd0d9bf25db7b0001786a5b,10,oily,purse,Natalie's purse is oily,bare,4,1,95
4,5bd0d9bf25db7b0001786a5b,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,83
4,5bd0d9bf25db7b0001786a5b,16,tight,belt,Raplh's belt might be tight,filler,6,1,55
4,5bd0d9bf25db7b0001786a5b,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,66
4,5bd0d9bf25db7b0001786a5b,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,50
4,5bd0d9bf25db7b0001786a5b,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,98
4,5bd0d9bf25db7b0001786a5b,9,clean,shoes,Michael's shoes look clean,looks,10,1,77
4,5bd0d9bf25db7b0001786a5b,1,beige,suit,Elliot's suit is beige,bare,11,1,97
4,5bd0d9bf25db7b0001786a5b,6,loose,pants,Steve's pants look loose,looks,12,1,81
4,5bd0d9bf25db7b0001786a5b,5,short,skirt,Zoe's skirt is short,bare,13,1,96
4,5bd0d9bf25db7b0001786a5b,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,100
4,5bd0d9bf25db7b0001786a5b,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,76
4,5bd0d9bf25db7b0001786a5b,4,shiny,dress,Kate's dress is shiny,bare,16,1,99
4,5bd0d9bf25db7b0001786a5b,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,67
4,5bd0d9bf25db7b0001786a5b,18,silky,tie,David's tie might be silky,filler,18,1,62
4,5bd0d9bf25db7b0001786a5b,12,green,vest,I think Tom's vest is green,filler,19,1,61
4,5bd0d9bf25db7b0001786a5b,2,purple,coat,Holly's coat looks purple,looks,20,1,92
5,5d9eb6d611b7c400172aa975,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,22
5,5d9eb6d611b7c400172aa975,15,long,gown,I think Jenny's gown is long,filler,2,1,84
5,5d9eb6d611b7c400172aa975,20,damp,top,Samantha's top might be damp,filler,3,1,50
5,5d9eb6d611b7c400172aa975,10,oily,purse,Natalie's purse is oily,bare,4,1,100
5,5d9eb6d611b7c400172aa975,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,90
5,5d9eb6d611b7c400172aa975,16,tight,belt,Raplh's belt might be tight,filler,6,1,94
5,5d9eb6d611b7c400172aa975,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,68
5,5d9eb6d611b7c400172aa975,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,50
5,5d9eb6d611b7c400172aa975,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,100
5,5d9eb6d611b7c400172aa975,9,clean,shoes,Michael's shoes look clean,looks,10,1,79
5,5d9eb6d611b7c400172aa975,1,beige,suit,Elliot's suit is beige,bare,11,1,100
5,5d9eb6d611b7c400172aa975,6,loose,pants,Steve's pants look loose,looks,12,1,87
5,5d9eb6d611b7c400172aa975,5,short,skirt,Zoe's skirt is short,bare,13,1,88
5,5d9eb6d611b7c400172aa975,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,89
5,5d9eb6d611b7c400172aa975,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,100
5,5d9eb6d611b7c400172aa975,4,shiny,dress,Kate's dress is shiny,bare,16,1,100
5,5d9eb6d611b7c400172aa975,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,77
5,5d9eb6d611b7c400172aa975,18,silky,tie,David's tie might be silky,filler,18,1,48
5,5d9eb6d611b7c400172aa975,12,green,vest,I think Tom's vest is green,filler,19,1,85
5,5d9eb6d611b7c400172aa975,2,purple,coat,Holly's coat looks purple,looks,20,1,88
6,5d91daf3704e790018f47229,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,50
6,5d91daf3704e790018f47229,15,long,gown,I think Jenny's gown is long,filler,2,1,77
6,5d91daf3704e790018f47229,20,damp,top,Samantha's top might be damp,filler,3,1,61
6,5d91daf3704e790018f47229,10,oily,purse,Natalie's purse is oily,bare,4,1,100
6,5d91daf3704e790018f47229,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,87
6,5d91daf3704e790018f47229,16,tight,belt,Raplh's belt might be tight,filler,6,1,73
6,5d91daf3704e790018f47229,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,75
6,5d91daf3704e790018f47229,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,52
6,5d91daf3704e790018f47229,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,100
6,5d91daf3704e790018f47229,9,clean,shoes,Michael's shoes look clean,looks,10,1,84
6,5d91daf3704e790018f47229,1,beige,suit,Elliot's suit is beige,bare,11,1,100
6,5d91daf3704e790018f47229,6,loose,pants,Steve's pants look loose,looks,12,1,79
6,5d91daf3704e790018f47229,5,short,skirt,Zoe's skirt is short,bare,13,1,100
6,5d91daf3704e790018f47229,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,91
6,5d91daf3704e790018f47229,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,87
6,5d91daf3704e790018f47229,4,shiny,dress,Kate's dress is shiny,bare,16,1,100
6,5d91daf3704e790018f47229,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,67
6,5d91daf3704e790018f47229,18,silky,tie,David's tie might be silky,filler,18,1,60
6,5d91daf3704e790018f47229,12,green,vest,I think Tom's vest is green,filler,19,1,67
6,5d91daf3704e790018f47229,2,purple,coat,Holly's coat looks purple,looks,20,1,81
7,6009eee6721c400d92d4cd39,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,53
7,6009eee6721c400d92d4cd39,15,long,gown,I think Jenny's gown is long,filler,2,1,51
7,6009eee6721c400d92d4cd39,20,damp,top,Samantha's top might be damp,filler,3,1,51
7,6009eee6721c400d92d4cd39,10,oily,purse,Natalie's purse is oily,bare,4,1,100
7,6009eee6721c400d92d4cd39,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,87
7,6009eee6721c400d92d4cd39,16,tight,belt,Raplh's belt might be tight,filler,6,1,60
7,6009eee6721c400d92d4cd39,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,76
7,6009eee6721c400d92d4cd39,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,67
7,6009eee6721c400d92d4cd39,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,100
7,6009eee6721c400d92d4cd39,9,clean,shoes,Michael's shoes look clean,looks,10,1,76
7,6009eee6721c400d92d4cd39,1,beige,suit,Elliot's suit is beige,bare,11,1,100
7,6009eee6721c400d92d4cd39,6,loose,pants,Steve's pants look loose,looks,12,1,80
7,6009eee6721c400d92d4cd39,5,short,skirt,Zoe's skirt is short,bare,13,1,100
7,6009eee6721c400d92d4cd39,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,77
7,6009eee6721c400d92d4cd39,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,80
7,6009eee6721c400d92d4cd39,4,shiny,dress,Kate's dress is shiny,bare,16,1,100
7,6009eee6721c400d92d4cd39,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,75
7,6009eee6721c400d92d4cd39,18,silky,tie,David's tie might be silky,filler,18,1,72
7,6009eee6721c400d92d4cd39,12,green,vest,I think Tom's vest is green,filler,19,1,68
7,6009eee6721c400d92d4cd39,2,purple,coat,Holly's coat looks purple,looks,20,1,81
8,599323cdf9db7d00018955da,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,24
8,599323cdf9db7d00018955da,15,long,gown,I think Jenny's gown is long,filler,2,1,86
8,599323cdf9db7d00018955da,20,damp,top,Samantha's top might be damp,filler,3,1,63
8,599323cdf9db7d00018955da,10,oily,purse,Natalie's purse is oily,bare,4,1,100
8,599323cdf9db7d00018955da,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,91
8,599323cdf9db7d00018955da,16,tight,belt,Raplh's belt might be tight,filler,6,1,66
8,599323cdf9db7d00018955da,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,89
8,599323cdf9db7d00018955da,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,67
8,599323cdf9db7d00018955da,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,100
8,599323cdf9db7d00018955da,9,clean,shoes,Michael's shoes look clean,looks,10,1,99
8,599323cdf9db7d00018955da,1,beige,suit,Elliot's suit is beige,bare,11,1,100
8,599323cdf9db7d00018955da,6,loose,pants,Steve's pants look loose,looks,12,1,91
8,599323cdf9db7d00018955da,5,short,skirt,Zoe's skirt is short,bare,13,1,99
8,599323cdf9db7d00018955da,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,72
8,599323cdf9db7d00018955da,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,88
8,599323cdf9db7d00018955da,4,shiny,dress,Kate's dress is shiny,bare,16,1,100
8,599323cdf9db7d00018955da,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,79
8,599323cdf9db7d00018955da,18,silky,tie,David's tie might be silky,filler,18,1,74
8,599323cdf9db7d00018955da,12,green,vest,I think Tom's vest is green,filler,19,1,79
8,599323cdf9db7d00018955da,2,purple,coat,Holly's coat looks purple,looks,20,1,89
9,610351a3f6c1b632de5d0040,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,0
9,610351a3f6c1b632de5d0040,15,long,gown,I think Jenny's gown is long,filler,2,1,50
9,610351a3f6c1b632de5d0040,20,damp,top,Samantha's top might be damp,filler,3,1,71
9,610351a3f6c1b632de5d0040,10,oily,purse,Natalie's purse is oily,bare,4,1,100
9,610351a3f6c1b632de5d0040,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,75
9,610351a3f6c1b632de5d0040,16,tight,belt,Raplh's belt might be tight,filler,6,1,50
9,610351a3f6c1b632de5d0040,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,39
9,610351a3f6c1b632de5d0040,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,29
9,610351a3f6c1b632de5d0040,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,100
9,610351a3f6c1b632de5d0040,9,clean,shoes,Michael's shoes look clean,looks,10,1,82
9,610351a3f6c1b632de5d0040,1,beige,suit,Elliot's suit is beige,bare,11,1,100
9,610351a3f6c1b632de5d0040,6,loose,pants,Steve's pants look loose,looks,12,1,64
9,610351a3f6c1b632de5d0040,5,short,skirt,Zoe's skirt is short,bare,13,1,100
9,610351a3f6c1b632de5d0040,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,50
9,610351a3f6c1b632de5d0040,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,51
9,610351a3f6c1b632de5d0040,4,shiny,dress,Kate's dress is shiny,bare,16,1,100
9,610351a3f6c1b632de5d0040,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,71
9,610351a3f6c1b632de5d0040,18,silky,tie,David's tie might be silky,filler,18,1,51
9,610351a3f6c1b632de5d0040,12,green,vest,I think Tom's vest is green,filler,19,1,45
9,610351a3f6c1b632de5d0040,2,purple,coat,Holly's coat looks purple,looks,20,1,60
10,60cf7074e1ea52a0f3450346,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,50
10,60cf7074e1ea52a0f3450346,15,long,gown,I think Jenny's gown is long,filler,2,1,51
10,60cf7074e1ea52a0f3450346,20,damp,top,Samantha's top might be damp,filler,3,1,51
10,60cf7074e1ea52a0f3450346,10,oily,purse,Natalie's purse is oily,bare,4,1,100
10,60cf7074e1ea52a0f3450346,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,70
10,60cf7074e1ea52a0f3450346,16,tight,belt,Raplh's belt might be tight,filler,6,1,51
10,60cf7074e1ea52a0f3450346,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,51
10,60cf7074e1ea52a0f3450346,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,51
10,60cf7074e1ea52a0f3450346,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,100
10,60cf7074e1ea52a0f3450346,9,clean,shoes,Michael's shoes look clean,looks,10,1,81
10,60cf7074e1ea52a0f3450346,1,beige,suit,Elliot's suit is beige,bare,11,1,100
10,60cf7074e1ea52a0f3450346,6,loose,pants,Steve's pants look loose,looks,12,1,80
10,60cf7074e1ea52a0f3450346,5,short,skirt,Zoe's skirt is short,bare,13,1,97
10,60cf7074e1ea52a0f3450346,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,92
10,60cf7074e1ea52a0f3450346,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,87
10,60cf7074e1ea52a0f3450346,4,shiny,dress,Kate's dress is shiny,bare,16,1,100
10,60cf7074e1ea52a0f3450346,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,78
10,60cf7074e1ea52a0f3450346,18,silky,tie,David's tie might be silky,filler,18,1,50
10,60cf7074e1ea52a0f3450346,12,green,vest,I think Tom's vest is green,filler,19,1,66
10,60cf7074e1ea52a0f3450346,2,purple,coat,Holly's coat looks purple,looks,20,1,72
11,5aeab6e39e185a0001b9e272,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,36
11,5aeab6e39e185a0001b9e272,15,long,gown,I think Jenny's gown is long,filler,2,1,84
11,5aeab6e39e185a0001b9e272,20,damp,top,Samantha's top might be damp,filler,3,1,30
11,5aeab6e39e185a0001b9e272,10,oily,purse,Natalie's purse is oily,bare,4,1,29
11,5aeab6e39e185a0001b9e272,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,93
11,5aeab6e39e185a0001b9e272,16,tight,belt,Raplh's belt might be tight,filler,6,1,24
11,5aeab6e39e185a0001b9e272,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,79
11,5aeab6e39e185a0001b9e272,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,37
11,5aeab6e39e185a0001b9e272,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,100
11,5aeab6e39e185a0001b9e272,9,clean,shoes,Michael's shoes look clean,looks,10,1,100
11,5aeab6e39e185a0001b9e272,1,beige,suit,Elliot's suit is beige,bare,11,1,100
11,5aeab6e39e185a0001b9e272,6,loose,pants,Steve's pants look loose,looks,12,1,66
11,5aeab6e39e185a0001b9e272,5,short,skirt,Zoe's skirt is short,bare,13,1,77
11,5aeab6e39e185a0001b9e272,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,68
11,5aeab6e39e185a0001b9e272,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,77
11,5aeab6e39e185a0001b9e272,4,shiny,dress,Kate's dress is shiny,bare,16,1,74
11,5aeab6e39e185a0001b9e272,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,80
11,5aeab6e39e185a0001b9e272,18,silky,tie,David's tie might be silky,filler,18,1,36
11,5aeab6e39e185a0001b9e272,12,green,vest,I think Tom's vest is green,filler,19,1,63
11,5aeab6e39e185a0001b9e272,2,purple,coat,Holly's coat looks purple,looks,20,1,77
12,60fd8e4407065c93f23a5f84,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,31
12,60fd8e4407065c93f23a5f84,15,long,gown,I think Jenny's gown is long,filler,2,1,34
12,60fd8e4407065c93f23a5f84,20,damp,top,Samantha's top might be damp,filler,3,1,34
12,60fd8e4407065c93f23a5f84,10,oily,purse,Natalie's purse is oily,bare,4,1,90
12,60fd8e4407065c93f23a5f84,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,61
12,60fd8e4407065c93f23a5f84,16,tight,belt,Raplh's belt might be tight,filler,6,1,31
12,60fd8e4407065c93f23a5f84,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,37
12,60fd8e4407065c93f23a5f84,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,39
12,60fd8e4407065c93f23a5f84,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,100
12,60fd8e4407065c93f23a5f84,9,clean,shoes,Michael's shoes look clean,looks,10,1,74
12,60fd8e4407065c93f23a5f84,1,beige,suit,Elliot's suit is beige,bare,11,1,95
12,60fd8e4407065c93f23a5f84,6,loose,pants,Steve's pants look loose,looks,12,1,56
12,60fd8e4407065c93f23a5f84,5,short,skirt,Zoe's skirt is short,bare,13,1,95
12,60fd8e4407065c93f23a5f84,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,35
12,60fd8e4407065c93f23a5f84,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,74
12,60fd8e4407065c93f23a5f84,4,shiny,dress,Kate's dress is shiny,bare,16,1,100
12,60fd8e4407065c93f23a5f84,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,23
12,60fd8e4407065c93f23a5f84,18,silky,tie,David's tie might be silky,filler,18,1,36
12,60fd8e4407065c93f23a5f84,12,green,vest,I think Tom's vest is green,filler,19,1,64
12,60fd8e4407065c93f23a5f84,2,purple,coat,Holly's coat looks purple,looks,20,1,70
13,5ea492e3b1b3620a6fee3b90,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,11
13,5ea492e3b1b3620a6fee3b90,15,long,gown,I think Jenny's gown is long,filler,2,1,29
13,5ea492e3b1b3620a6fee3b90,20,damp,top,Samantha's top might be damp,filler,3,1,10
13,5ea492e3b1b3620a6fee3b90,10,oily,purse,Natalie's purse is oily,bare,4,1,97
13,5ea492e3b1b3620a6fee3b90,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,84
13,5ea492e3b1b3620a6fee3b90,16,tight,belt,Raplh's belt might be tight,filler,6,1,36
13,5ea492e3b1b3620a6fee3b90,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,25
13,5ea492e3b1b3620a6fee3b90,11,crimson,outfit,Mark's outfit might be crimson,filler,8,1,12
13,5ea492e3b1b3620a6fee3b90,8,fuzzy,scarf,Gail's scarf is fuzzy,bare,9,1,99
13,5ea492e3b1b3620a6fee3b90,9,clean,shoes,Michael's shoes look clean,looks,10,1,93
13,5ea492e3b1b3620a6fee3b90,1,beige,suit,Elliot's suit is beige,bare,11,1,99
13,5ea492e3b1b3620a6fee3b90,6,loose,pants,Steve's pants look loose,looks,12,1,76
13,5ea492e3b1b3620a6fee3b90,5,short,skirt,Zoe's skirt is short,bare,13,1,87
13,5ea492e3b1b3620a6fee3b90,17,transparent,blouse,I think Sarah's blouse is transparent,filler,14,1,22
13,5ea492e3b1b3620a6fee3b90,3,striped,shirt,Ashley's shirt looks striped,looks,15,1,68
13,5ea492e3b1b3620a6fee3b90,4,shiny,dress,Kate's dress is shiny,bare,16,1,97
13,5ea492e3b1b3620a6fee3b90,19,dirty,socks,I think Peter's socks are dirty,filler,17,1,23
13,5ea492e3b1b3620a6fee3b90,18,silky,tie,David's tie might be silky,filler,18,1,22
13,5ea492e3b1b3620a6fee3b90,12,green,vest,I think Tom's vest is green,filler,19,1,18
13,5ea492e3b1b3620a6fee3b90,2,purple,coat,Holly's coat looks purple,looks,20,1,83
14,60a1e1f4a3707c983a98f185,13,checkered,cardigan,Lucy's cardigan might be checkered,filler,1,1,39
14,60a1e1f4a3707c983a98f185,15,long,gown,I think Jenny's gown is long,filler,2,1,51
14,60a1e1f4a3707c983a98f185,20,damp,top,Samantha's top might be damp,filler,3,1,59
14,60a1e1f4a3707c983a98f185,10,oily,purse,Natalie's purse is oily,bare,4,1,82
14,60a1e1f4a3707c983a98f185,7,bulky,jacket,Dylan's jacket looks bulky,looks,5,1,86
14,60a1e1f4a3707c983a98f185,16,tight,belt,Raplh's belt might be tight,filler,6,1,40
14,60a1e1f4a3707c983a98f185,14,faded,jeans,I think Frank's jeans are faded,filler,7,1,49
